RATING,LAUNCHPAD,PROJECT,START,TOKEN,REWIEW,PROGRESS
3.9,Coineal Launchpad,VECAP,"06 Jun, 2019",VC,Coming soonPRO,Ended$4.7M
2.8,Probit Launchpad,Spin Protocol,"19 Mar, 2019",SPIN,Coming soonPRO,Ended$4.4M
4.3,Probit Launchpad,Verasity,"01 Mar, 2019",VRA,PDF,Ended$4M
3.9,Binance Launchpad,Celer Network,"19 Mar, 2019",CELR,Coming soonPRO,Ended$3.9M
3.8,Coineal Launchpad,ZeroBank,"31 Mar, 2019",ZB,Coming soonPRO,Ended$3.9M
4.3,p2pb2b Launchpad,CryptoAds,"20 May, 2019",CRAD,Coming soonPRO,Ended$3.2M
3.3,Latoken Launchpad,Coinshare,"18 Jun, 2019",TCJ,Coming soonPRO,Ended$3.2M
4.2,Latoken Launchpad,LOLTOKEN BY EIU.AC,"16 Sep, 2019",LOL,Coming soonPRO,Ended$3M
4.1,Multiple,SESSIA,"17 Jul, 2019",KICKS,PDF,Ended$3M
2.3,LBank Launchpad,DEXON,"25 Apr, 2019",D​XN,PDF,Ended$3M
3.0,Latoken Launchpad,AIZEUS,"01 Mar, 2019",AZS,Coming soonPRO,Ended$2.9M
3.7,Multiple,Bit Agro,"05 Apr, 2019",AGRO,Coming soonPRO,Ended$2.8M
4.2,Latoken Launchpad,Zeux,"07 Jun, 2019",ZUC,Coming soonPRO,Ended$2.7M
4.1,LBank Launchpad,pukkamex,"23 Aug, 2019",PUX,PDF,Ended$2.6M
3.6,ABCC Launchpad,Poseidon,"13 May, 2019",OCEAN,Coming soonPRO,Ended$2.4M
3.3,p2pb2b Launchpad,GEXAN,"10 May, 2019",GEX,Coming soonPRO,Ended$2.1M
2.9,p2pb2b Launchpad,ESAX,"18 Nov, 2019",ESAX,Coming soonPRO,Ended$2M
3.9,Coineal Launchpad,CYBR,"23 Jun, 2019",CYBR,Coming soonPRO,Ended$2M
3.0,Bitinka Launchpad,Stonecoin,"21 Jun, 2019",STO,Coming soonPRO,Ended$2M
2.8,Coineal Launchpad,IZIChain,"20 Apr, 2019",IZI,Coming soonPRO,Ended$2M
4.3,Latoken Launchpad,Creditcoin,"14 Jan, 2019",CCOIN,PDF,Ended$2M
1.8,Multiple,Brave Sound Token,"02 Jul, 2019",BRST,Coming soonPRO,Ended$1.9M
4.5,Binance Launchpad,Elrond Network,"22 Jun, 2019",ERD,Coming soonPRO,Ended$1.9M
3.8,Coineal Launchpad,Levolution,"18 Mar, 2019",LEVL,Coming soonPRO,Ended$1.9M
2.6,Latoken Launchpad,ROC2,"01 Mar, 2019",ROC2,Coming soonPRO,Ended$1.8M
2.7,BitMax Launchpad,Dos Network,"11 Apr, 2019",DOS,Coming soonPRO,Ended$1.7M
3.3,Coineal Launchpad,Digipharm,"18 Jun, 2019",DPH,PDF,Ended$1.5M
4.0,Latoken Launchpad,iOWN Token,"27 Jun, 2019",iOWN,Coming soonPRO,Ended$1.5M
4.0,Bitforex Launchpad,Mycro,"11 Jun, 2019",MYO,Coming soonPRO,Ended$1.5M
2.4,Multiple,Ghost Talk,"30 May, 2019",XCSS,Coming soonPRO,Ended$1.5M
3.7,Latoken Launchpad,EarthBi,"09 Apr, 2019",ERA,Coming soonPRO,Ended$1.5M
3.2,Bittrex International,Vodi X,"21 May, 2019",VDX,Coming soonPRO,Ended$1.5M
3.6,Coineal Launchpad,VIARIUM,"15 Jul, 2019",VRX,Coming soonPRO,Ended$1.3M
4.1,Coineal Launchpad,Geco.one,"01 Jul, 2019",GEC,Coming soonPRO,Ended$1.3M
4.0,Probit Launchpad,BolttCoin,"19 Jun, 2019",BOLTT,Coming soonPRO,Ended$1.2M
2.6,Latoken Launchpad,Fr8 Network,"16 Apr, 2019",FR8,Coming soonPRO,Ended$1.2M
4.1,Latoken Launchpad,SonoCoin,"01 Aug, 2019",SONO,Coming soonPRO,Ended$1.2M
4.2,Exmarkets Launchpad,Yanu,"26 Apr, 2019",YANU,Coming soonPRO,Ended$1.1M
3.8,Huobi Prime,Newton,"16 Apr, 2019",NEW,Coming soonPRO,Ended$1.1M
2.8,Latoken Launchpad,iProtocol Network,"16 May, 2019",IPN,Coming soonPRO,Ended$1M
1.7,p2pb2b Launchpad,Nitro platform token,"02 Jan, 2020",Nitro token,Coming soonPRO,Ended$1000K
2.8,Kucoin Spotlight,ToKoin,"20 Aug, 2019",TOKO,Coming soonPRO,Ended$1000K
4.3,BitMax Launchpad,DeepCloud,"18 Jul, 2019",DEEP,PDF,Ended$1000K
3.7,ABCC Launchpad,AIVIA,"20 Apr, 2019",AIV,PDF,Ended$1000K
2.8,BitMax Launchpad,DUO Network,"27 Apr, 2019",DUO,Coming soonPRO,Ended$941.1K
3.6,Multiple,IOTW,"28 Apr, 2019",IOTW,Coming soonPRO,Ended$750K
3.8,Latoken Launchpad,AllSesame,"21 May, 2019",SST,Coming soonPRO,Ended$700K
2.4,Multiple,Rebglo,"26 Mar, 2019",REB,Coming soonPRO,Ended$694.4K
2.6,Latoken Launchpad,PixelBit,"11 Jun, 2019",PXB,Coming soonPRO,Ended$678.6K
4.7,Latoken Launchpad,2local,"16 Mar, 2020",L2L,Coming soonPRO,Ended$650K
2.9,IDAX Launchpad,AlienCloud,"16 Apr, 2019",ALS,Coming soonPRO,Ended$631.3K
3.5,Multiple,Ten Billion Coin IEO,"28 Aug, 2019",YBY,Coming soonPRO,Ended$630K
3.8,Exmarkets Launchpad,Vectorium Plus,"31 Oct, 2019",VCTP,Coming soonPRO,Ended$626.2K
4.2,Multiple,Membrana,"17 Jun, 2019",MBN,Coming soonPRO,Ended$600K
2.9,ZB Launchpad,V Systems,"28 Mar, 2019",VSYS,Coming soonPRO,Ended$600K
2.6,Coineal Launchpad,TEN Token,"20 May, 2019",GDEM,Coming soonPRO,Ended$576K
2.7,Multiple,REDi,"03 Apr, 2019",REDI,Coming soonPRO,Ended$532K
2.9,Probit Launchpad,Btccredit,"29 Nov, 2019",BTCC,Coming soonPRO,Ended$500K
3.9,Latoken Launchpad,MediLiVes,"01 Oct, 2019",MLIV,Coming soonPRO,Ended$500K
3.7,Bitforex Launchpad,Alphanu,"10 Jul, 2019",ANU,Coming soonPRO,Ended$500K
2.6,Latoken Launchpad,MAS COIN,"23 Jun, 2019",MAS,Coming soonPRO,Ended$500K
2.7,IDAX Launchpad,EvenToken,"22 May, 2019",EST,Coming soonPRO,Ended$450K
4.4,Coineal Launchpad,Cryptobuyer,"09 May, 2019",XPT,PDF,Ended$436.8K
3.1,Multiple,Evedo,"05 May, 2019",EVED,Coming soonPRO,Ended$413.8K
4.0,Probit Launchpad,MEvU,"10 Jun, 2019",MVU,Coming soonPRO,Ended$380K
3.6,Latoken Launchpad,Bitenny,"08 Jul, 2019",BTNY,Coming soonPRO,Ended$378.7K
2.8,BW Launchpad,Ziktalk,"16 Jul, 2019",ZIK,Coming soonPRO,Ended$350K
3.5,Exmarkets Launchpad,stableDEX,"04 Jul, 2019",STDEX,PDF,Ended$300K
3.9,Coineal Launchpad,Allbebet,"26 Aug, 2019",ALB,Coming soonPRO,Ended$279.8K
1.8,Latoken Launchpad,CENTEX,"18 Jun, 2019",CNTX,Coming soonPRO,Ended$265.9K
2.7,Probit Launchpad,HUNT,"23 Mar, 2019",HUNT,Coming soonPRO,Ended$260K
4.1,Multiple,PBET,"05 Aug, 2019",PBET,PDF,Ended$250K
2.7,Probit Launchpad,Bitstars,"02 May, 2019",BST,Coming soonPRO,Ended$250K
3.9,Probit Launchpad,MPCX,"28 Jun, 2019",XDMC,Coming soonPRO,Ended$243.4K
4.0,Multiple,PDATA,"11 May, 2019",PDATA,Coming soonPRO,Ended$232.3K
3.4,Latoken Launchpad,Agrolifecoin,"04 Nov, 2019",AGLC,Coming soonPRO,Ended$224.8K
2.9,p2pb2b Launchpad,UOS Network,"08 Aug, 2019",UOS,Coming soonPRO,Ended$200K
3.7,p2pb2b Launchpad,Global Funeral Care,"29 Jun, 2019",GFCS,Coming soonPRO,Ended$200K
3.9,Latoken Launchpad,Coinxes,"01 Apr, 2019",CXG,Coming soonPRO,Ended$193.9K
4.3,IDAX Launchpad,Crypto Market Ads,"17 Jun, 2019",CMA,Coming soonPRO,Ended$100K
3.4,IDAX Launchpad,Marshal Lion Group Coin,"30 Oct, 2019",Marshal Lion Group Coin (MLGC),Coming soonPRO,Ended$76K
3.6,Probit Launchpad,idap.io,"26 Aug, 2019",BFX,PDF,Ended$70K
2.6,Multiple,Blockium,"24 Jun, 2019",BOK,Coming soonPRO,Ended$59.8K
2.1,Multiple,Linix,"20 Jun, 2019",LNX,Coming soonPRO,Ended$43.1K
3.8,Probit Launchpad,Refine Medium,"19 Oct, 2019",XRM,Coming soonPRO,Ended$42K
2.4,Latoken Launchpad,PlannerScape,"15 Mar, 2019",PLAN,Coming soonPRO,Ended$39.6K
3.2,Latoken Launchpad,GStar,"01 Jan, 2019",GOX,Coming soonPRO,Ended$20K
3.4,BW Launchpad,PantheonX,"18 Apr, 2019",XPN,Coming soonPRO,Ended$18.8K
4.9,Latoken Launchpad,Rowan Energy Blockchain,"01 Jul, 2020",RWN,Coming soonPRO,Ended—
5.0,Multiple,DogData,"25 May, 2020",ETHBN,Coming soonPRO,Ended—
2.0,Probit Launchpad,SKYBIT,"20 Mar, 2020",SKYBIT,Coming soonPRO,Ended—
4.3,Latoken Launchpad,Prediqt,"12 Mar, 2020",PQT,Coming soonPRO,Ended—
4.1,p2pb2b Launchpad,Emjac,"10 Mar, 2020",EMJ,PDF,Ended—
3.8,p2pb2b Launchpad,MintMine,"24 Feb, 2020",MTMN,Coming soonPRO,Ended—
2.3,p2pb2b Launchpad,H&amp;B Exchange Token,"05 Feb, 2020",HBXT,Coming soonPRO,Ended—
2.9,Multiple,Multichain Ventures,"31 Jan, 2020",TKS,Coming soonPRO,Ended—
3.9,Latoken Launchpad,DAIN,"27 Jan, 2020",DAIN/DAINE,Coming soonPRO,Ended—
2.9,Latoken Launchpad,Monetorb,"20 Jan, 2020",ORB,Coming soonPRO,Ended—
3.9,p2pb2b Launchpad,NEXT,"20 Jan, 2020",NEXTX,Coming soonPRO,Ended—
4.1,Probit Launchpad,Nexxus Rewards,"16 Jan, 2020",NXR,Coming soonPRO,Ended—
3.7,Latoken Launchpad,Karuschain,"14 Jan, 2020",KRS,Coming soonPRO,Ended—
3.7,p2pb2b Launchpad,Carbon Offset Initiative,"06 Jan, 2020",COI token,Coming soonPRO,Ended—
3.1,Probit Launchpad,IAT,"06 Jan, 2020",IAT,Coming soonPRO,Ended—
3.2,p2pb2b Launchpad,Wolfs Group,"03 Jan, 2020",WLF,Coming soonPRO,Ended—
3.7,Latoken Launchpad,Cube Chain,"30 Dec, 2019",QUB,Coming soonPRO,Ended—
4.4,Probit Launchpad,Pawtocol,"27 Dec, 2019",UPI token,Coming soonPRO,Ended—
2.1,p2pb2b Launchpad,Bitcoin Classic,"24 Dec, 2019",BXC,Coming soonPRO,Ended—
2.3,Exmarkets Launchpad,StiB,"23 Dec, 2019",STI,Coming soonPRO,Ended—
3.5,Probit Launchpad,StepChain,"17 Dec, 2019",STEP,Coming soonPRO,Ended—
4.3,Coineal Launchpad,Shopereum,"10 Dec, 2019",XSHOP,Coming soonPRO,Ended—
3.8,Probit Launchpad,The Hustle App,"10 Dec, 2019",HUSL,Coming soonPRO,Ended—
2.0,Probit Launchpad,Pocket Node,"09 Dec, 2019",NODE token,Coming soonPRO,Ended—
2.6,Exmarkets Launchpad,TIG,"09 Dec, 2019",TIG,Coming soonPRO,Ended—
2.2,Latoken Launchpad,MegaLTR,"06 Dec, 2019",MLR,Coming soonPRO,Ended—
2.9,p2pb2b Launchpad,Ixinium,"05 Dec, 2019",XXA,Coming soonPRO,Ended—
2.8,Probit Launchpad,Torex,"05 Dec, 2019",TOR,Coming soonPRO,Ended—
4.3,Multiple,MONNOS,"04 Dec, 2019",Monnos Token / MNS,Coming soonPRO,Ended—
2.6,Probit Launchpad,Juchating,"27 Nov, 2019",PSR,Coming soonPRO,Ended—
4.1,p2pb2b Launchpad,Freelanex,"25 Nov, 2019",FLXC,PDF,Ended—
4.0,p2pb2b Launchpad,RideNode,"22 Nov, 2019",RIDE,Coming soonPRO,Ended—
3.3,p2pb2b Launchpad,Global Crypto Alliance,"20 Nov, 2019",CALL,Coming soonPRO,Ended—
2.7,p2pb2b Launchpad,PIXBY Project,"20 Nov, 2019",PIXBY,Coming soonPRO,Ended—
2.6,p2pb2b Launchpad,BitKAM Network,"18 Nov, 2019",KAM,Coming soonPRO,Ended—
2.3,Exmarkets Launchpad,Digital Wallet,"16 Nov, 2019",DWC,Coming soonPRO,Ended—
2.0,Latoken Launchpad,Natural Eco Carbon Coin,"13 Nov, 2019",NECC,Coming soonPRO,Ended—
2.8,Probit Launchpad,CitiOS,"13 Nov, 2019",R2R,Coming soonPRO,Ended—
2.4,Exmarkets Launchpad,BlobFlow,"11 Nov, 2019",FLOW,Coming soonPRO,Ended—
3.1,Bitfinex Launchpad,K.im,"06 Nov, 2019",KIM,Coming soonPRO,Ended—
3.5,Probit Launchpad,BNC Token,"04 Nov, 2019",BNC,Coming soonPRO,Ended—
3.7,Latoken Launchpad,C Estates,"31 Oct, 2019",XCET,Coming soonPRO,Ended—
3.9,Probit Launchpad,Stan World,"24 Oct, 2019",STAN,Coming soonPRO,Ended—
3.3,Binance Launchpad,KAVA,"23 Oct, 2019",KAVA,Coming soonPRO,Ended—
2.7,Exmarkets Launchpad,Bankaero,"22 Oct, 2019",BANKAERO,Coming soonPRO,Ended—
2.6,p2pb2b Launchpad,CryptoCocktail Coin,"22 Oct, 2019",CCC,Coming soonPRO,Ended—
2.1,Probit Launchpad,GBC KOREA,"22 Oct, 2019",UCX,Coming soonPRO,Ended—
3.1,Latoken Launchpad,Smart Trade Coin,"21 Oct, 2019",TRADE,Coming soonPRO,Ended—
1.8,Exmarkets Launchpad,UssCyber,"15 Oct, 2019",WFCE,Coming soonPRO,Ended—
2.6,Probit Launchpad,SPENDER,"14 Oct, 2019",SPD,Coming soonPRO,Ended—
2.4,Probit Launchpad,Kuverit,"10 Oct, 2019",KUV,Coming soonPRO,Ended—
2.5,Coineal Launchpad,Statizex,"10 Oct, 2019",Statizex/STAT,Coming soonPRO,Ended—
3.4,p2pb2b Launchpad,Super 8,"07 Oct, 2019",S8,Coming soonPRO,Ended—
3.9,Probit Launchpad,GoldeNugget,"01 Oct, 2019",GNTO,PDF,Ended—
4.2,Exmarkets Launchpad,FESS Chain,"30 Sep, 2019",FESS,PDF,Ended—
4.2,Probit Launchpad,DEXA Coin,"27 Sep, 2019",DEXA,Coming soonPRO,Ended—
2.4,Latoken Launchpad,ASTRcoin,"27 Sep, 2019",ASTR,Coming soonPRO,Ended—
3.5,Probit Launchpad,Navibration,"25 Sep, 2019",NAVI,PDF,Ended—
2.6,Latoken Launchpad,Azuma Games,"20 Sep, 2019",AZUM,Coming soonPRO,Ended—
3.9,p2pb2b Launchpad,AlphaX,"16 Sep, 2019",AX,Coming soonPRO,Ended—
2.7,Latoken Launchpad,Captive,"16 Sep, 2019",CAPCT,Coming soonPRO,Ended—
4.3,p2pb2b Launchpad,Curate,"16 Sep, 2019",CUR8,PDF,Ended—
3.6,Exmarkets Launchpad,CazPlus,"15 Sep, 2019",CAZPLUS,Coming soonPRO,Ended—
3.4,Probit Launchpad,DIVO,"11 Sep, 2019",DIVO,Coming soonPRO,Ended—
3.7,Probit Launchpad,BeatzCoin,"10 Sep, 2019",BTZC,Coming soonPRO,Ended—
1.4,Latoken Launchpad,USNS,"03 Sep, 2019",USNS,Coming soonPRO,Ended—
4.3,Exmarkets Launchpad,BitWings,"01 Sep, 2019",BWN,PDF,Ended—
2.7,Exmarkets Launchpad,ATECH,"30 Aug, 2019",AFX token,Coming soonPRO,Ended—
3.4,ZB Launchpad,Adrenaline,"29 Aug, 2019",ARAI,Coming soonPRO,Ended—
3.1,Probit Launchpad,Robin8,"28 Aug, 2019",KOL,Coming soonPRO,Ended—
2.9,Probit Launchpad,Wish Chain,"27 Aug, 2019",WISH token,Coming soonPRO,Ended—
2.4,Probit Launchpad,CurioInvest,"21 Aug, 2019",CURIO,Coming soonPRO,Ended—
3.4,Exmarkets Launchpad,Payment Porte,"19 Aug, 2019",PORTE,Coming soonPRO,Ended—
3.8,Exmarkets Launchpad,RachelX,"15 Aug, 2019",RACH,Coming soonPRO,Ended—
2.1,Huobi Prime,Emogi,"15 Aug, 2019",LOL&nbsp;,Coming soonPRO,Ended—
2.1,Coineal Launchpad,Castweet,"14 Aug, 2019",CTT token,Coming soonPRO,Ended—
3.7,Probit Launchpad,CPUcoin,"14 Aug, 2019",CPU,Coming soonPRO,Ended—
4.4,Probit Launchpad,Axel,"12 Aug, 2019",AXEL,Coming soonPRO,Ended—
1.6,BitMax Launchpad,UltrAlpha,"11 Aug, 2019",UAT,Coming soonPRO,Ended—
2.2,Probit Launchpad,Porus,"08 Aug, 2019",PORUS,Coming soonPRO,Ended—
3.9,p2pb2b Launchpad,Viaz,"07 Aug, 2019",VIAZ,PDF,Ended—
2.9,p2pb2b Launchpad,Hinto,"06 Aug, 2019",HNT token,Coming soonPRO,Ended—
3.8,Latoken Launchpad,Telecoin,"31 Jul, 2019",TELE,Coming soonPRO,Ended—
2.2,Latoken Launchpad,Nesten,"29 Jul, 2019",NIT,Coming soonPRO,Ended—
4.0,p2pb2b Launchpad,ISKRA,"26 Jul, 2019",CCOH,Coming soonPRO,Ended—
2.4,Probit Launchpad,Blackpearl,"25 Jul, 2019",BPLC,Coming soonPRO,Ended—
4.0,Exmarkets Launchpad,ArtPro,"25 Jul, 2019",APT,PDF,Ended—
3.7,Bitfinex Launchpad,ULTRA,"16 Jul, 2019",UTA,Coming soonPRO,Ended—
4.4,Probit Launchpad,Swace,"15 Jul, 2019",SWACE,Coming soonPRO,Ended—
3.9,Latoken Launchpad,SwapZilla,"15 Jul, 2019",SWZL,Coming soonPRO,Ended—
2.7,Latoken Launchpad,Coin Island Air,"11 Jul, 2019",CIA,Coming soonPRO,Ended—
3.8,Latoken Launchpad,Bither,"08 Jul, 2019",BTR,Coming soonPRO,Ended—
3.3,Latoken Launchpad,Betmatch,"05 Jul, 2019",XBM,Coming soonPRO,Ended—
4.0,Multiple,Moozicore,"05 Jul, 2019",MZG,PDF,Ended—
4.3,Multiple,MACH Project,"04 Jul, 2019",MACH,Coming soonPRO,Ended—
2.2,Probit Launchpad,cryptoFranchise,"03 Jul, 2019",FRANK,Coming soonPRO,Ended—
1.9,Latoken Launchpad,Bitway,"02 Jul, 2019",WAY,Coming soonPRO,Ended—
3.1,Exmarkets Launchpad,Mitoshi,"01 Jul, 2019",MTSH,Coming soonPRO,Ended—
3.2,BW Launchpad,Storichain,"25 Jun, 2019",TORI,Coming soonPRO,Ended—
3.2,p2pb2b Launchpad,MarketC,"24 Jun, 2019",CMK,Coming soonPRO,Ended—
4.2,Latoken Launchpad,Dayta,"21 Jun, 2019",DAYTA,Coming soonPRO,Ended—
3.9,IDAX Launchpad,BLABBER,"21 Jun, 2019",BLA,Coming soonPRO,Ended—
2.3,Probit Launchpad,Origin Foundation,"18 Jun, 2019",ORIGIN,Coming soonPRO,Ended—
2.3,Probit Launchpad,SportX,"17 Jun, 2019",SOX,Coming soonPRO,Ended—
3.5,Exmarkets Launchpad,Zoptax,"15 Jun, 2019",ZPT,Coming soonPRO,Ended—
2.1,Probit Launchpad,turnple,"13 Jun, 2019",TRP,Coming soonPRO,Ended—
2.7,Latoken Launchpad,Zest,"10 Jun, 2019",Z,Coming soonPRO,Ended—
4.0,Exmarkets Launchpad,Hiway,"07 Jun, 2019",WAY,Coming soonPRO,Ended—
3.9,Probit Launchpad,Smathium,"05 Jun, 2019",SMT,Coming soonPRO,Ended—
4.0,p2pb2b Launchpad,Uncloak,"04 Jun, 2019",UNC,Coming soonPRO,Ended—
4.0,Probit Launchpad,Alphacon,"04 Jun, 2019",ALP,Coming soonPRO,Ended—
2.6,Latoken Launchpad,Octera,"01 Jun, 2019",OT,Coming soonPRO,Ended—
3.5,IDAX Launchpad,Autonomy,"01 Jun, 2019",ATNMY,Coming soonPRO,Ended—
4.2,Probit Launchpad,Guider,"01 Jun, 2019",GDR,Coming soonPRO,Ended—
2.3,Probit Launchpad,Codemy,"29 May, 2019",CDM,Coming soonPRO,Ended—
4.3,Probit Launchpad,Jobchain,"28 May, 2019",JOB,Coming soonPRO,Ended—
2.6,Kucoin Spotlight,Сhromia,"28 May, 2019",CHR token,Coming soonPRO,Ended—
2.2,Probit Launchpad,Biido,"27 May, 2019",BION,Coming soonPRO,Ended—
3.9,Exmarkets Launchpad,Global Property Register,"26 May, 2019",XRX,Coming soonPRO,Ended—
3.8,Multiple,xCrypt,"24 May, 2019",XCT,PDF,Ended—
2.7,Probit Launchpad,ListeningMind,"24 May, 2019",LMT,Coming soonPRO,Ended—
2.0,Probit Launchpad,Tripedia,"24 May, 2019",TPD,Coming soonPRO,Ended—
2.2,Probit Launchpad,Cherry Cube,"24 May, 2019",CTO,Coming soonPRO,Ended—
2.6,Probit Launchpad,NEMODaX,"23 May, 2019",NEMO,Coming soonPRO,Ended—
3.5,Probit Launchpad,TranslateMe,"22 May, 2019",TMN,Coming soonPRO,Ended—
2.8,Probit Launchpad,ExploreCoin,"21 May, 2019",XPC,Coming soonPRO,Ended—
3.8,Probit Launchpad,Azultec,"20 May, 2019",AZU,Coming soonPRO,Ended—
2.4,Latoken Launchpad,Silica neXus,"20 May, 2019",DROID,Coming soonPRO,Ended—
4.0,BW Launchpad,Futurepia,"20 May, 2019",PIA,Coming soonPRO,Ended—
4.0,IDAX Launchpad,Migranet,"16 May, 2019",MIG,PDF,Ended—
2.0,OK Jumpstart,Allive,"16 May, 2019",ALV,Coming soonPRO,Ended—
2.0,ABCC Launchpad,Connectome,"15 May, 2019",CNTM,Coming soonPRO,Ended—
2.6,Latoken Launchpad,Rapidz,"14 May, 2019",RPZX,Coming soonPRO,Ended—
3.7,Exmarkets Launchpad,XCOYNZ,"10 May, 2019",XCZ,Coming soonPRO,Ended—
3.1,Huobi Prime,Thundercore,"09 May, 2019",TT,Coming soonPRO,Ended—
3.7,Latoken Launchpad,Volum,"04 May, 2019",VLM,Coming soonPRO,Ended—
2.7,Latoken Launchpad,Fashion Coin,"02 May, 2019",FSHN,Coming soonPRO,Ended—
3.8,Exmarkets Launchpad,Airsave Travel,"01 May, 2019",ASTC,PDF,Ended—
3.3,Latoken Launchpad,ClinicAll,"30 Apr, 2019",CHT,Coming soonPRO,Ended—
2.2,Kucoin Spotlight,Trias,"30 Apr, 2019",TRY,Coming soonPRO,Ended—
3.2,Bittrex International,Ocean Protocol,"30 Apr, 2019",OCN,Coming soonPRO,Ended—
3.0,IDAX Launchpad,Tunetrade,"29 Apr, 2019",TXT,Coming soonPRO,Ended—
2.4,Probit Launchpad,Jura,"29 Apr, 2019",JURA,Coming soonPRO,Ended—
4.3,p2pb2b Launchpad,Faireum,"25 Apr, 2019",FAIRC,Coming soonPRO,Ended—
4.1,Exmarkets Launchpad,Farm2Kitchen,"22 Apr, 2019",F2K,PDF,Ended—
2.3,Probit Launchpad,NUVO,"19 Apr, 2019",NUVO,Coming soonPRO,Ended—
4.0,Coineal Launchpad,GTEX Gaming Platform,"12 Apr, 2019",GTEX,Coming soonPRO,Ended—
3.8,LBank Launchpad,OATH Protocol,"11 Apr, 2019",OATH,Coming soonPRO,Ended—
2.3,OK Jumpstart,Blockcloud,"10 Apr, 2019",BLOC,Coming soonPRO,Ended—
3.0,BW Launchpad,Link by BlockMason,"09 Apr, 2019",BLINK,Coming soonPRO,Ended—
3.9,Bitker Launchpad,YellowBetter,"08 Apr, 2019",YBT,Coming soonPRO,Ended—
3.4,Latoken Launchpad,Green Funding Coin,"02 Apr, 2019",GFC,Coming soonPRO,Ended—
3.2,BW Launchpad,Grabity,"02 Apr, 2019",GBT,Coming soonPRO,Ended—
2.3,Probit Launchpad,PUBLISH,"26 Mar, 2019",NEWS,Coming soonPRO,Ended—
2.0,Bitforex Launchpad,Kronn,"22 Mar, 2019",KREX,Coming soonPRO,Ended—
